Centroid: [40.004533, 116.322154], StdDev: [0.00899, 3.0E-5], ClassId: [127]
Centroid: [40.010356, 116.296953], StdDev: [0.00156, 3.0E-5], ClassId: [17]
Centroid: [40.009662, 116.31512], StdDev: [0.00135, 0.0], ClassId: [65]
Centroid: [39.994507, 116.326344], StdDev: [0.01283, 3.0E-5], ClassId: [94]
Centroid: [40.002065, 116.301803], StdDev: [0.00852, 2.2E-4], ClassId: [124]
Centroid: [39.992722, 116.317988], StdDev: [0.02123, 8.0E-5], ClassId: [80]
Centroid: [39.993684, 116.292036], StdDev: [0.00342, 4.6E-4], ClassId: [74]
Centroid: [39.97683, 116.470602], StdDev: [0.00631, 0.00725], ClassId: [53]
Centroid: [40.008924, 116.297236], StdDev: [0.00286, 6.0E-5], ClassId: [62]
Centroid: [40.043452, 116.606595], StdDev: [0.00871, 0.0046], ClassId: [84]
Centroid: [40.005283, 116.32232], StdDev: [0.0078, 2.0E-5], ClassId: [182]
Centroid: [39.99287, 116.318955], StdDev: [0.01939, 1.1E-4], ClassId: [138]
Centroid: [40.002874, 116.324023], StdDev: [0.01142, 7.0E-5], ClassId: [167]
Centroid: [39.970945, 116.329892], StdDev: [0.0236, 5.3E-4], ClassId: [162]
Centroid: [40.008709, 116.314797], StdDev: [0.0058, 2.0E-5], ClassId: [1]
Centroid: [39.938877, 116.375014], StdDev: [0.01424, 4.1E-4], ClassId: [168]
Centroid: [40.00014, 116.324569], StdDev: [0.008, 5.0E-5], ClassId: [163]
Centroid: [40.009375, 116.315342], StdDev: [0.00312, 1.0E-5], ClassId: [91]
Centroid: [39.994373, 116.299305], StdDev: [0.01282, 2.0E-4], ClassId: [114]
Centroid: [39.994051, 116.326714], StdDev: [0.0057, 2.0E-5], ClassId: [9]
Centroid: [39.980005, 116.327759], StdDev: [0.01263, 1.4E-4], ClassId: [142]
Centroid: [39.993962, 116.274196], StdDev: [0.00286, 3.8E-4], ClassId: [177]
Centroid: [39.98386, 116.31705], StdDev: [0.02403, 7.0E-5], ClassId: [2]
Centroid: [39.998689, 116.30621], StdDev: [0.00744, 2.7E-4], ClassId: [181]
Centroid: [40.009559, 116.315205], StdDev: [0.00236, 1.0E-5], ClassId: [141]
Centroid: [40.009486, 116.315187], StdDev: [0.00269, 1.0E-5], ClassId: [24]
Centroid: [40.010128, 116.296777], StdDev: [0.00178, 3.0E-5], ClassId: [18]
Centroid: [39.991019, 116.310562], StdDev: [0.01269, 1.4E-4], ClassId: [87]
Centroid: [40.00198, 116.32438], StdDev: [0.00713, 5.0E-5], ClassId: [0]
Centroid: [40.009492, 116.31509], StdDev: [0.00266, 0.0], ClassId: [83]
Centroid: [40.008817, 116.296413], StdDev: [0.00282, 5.0E-5], ClassId: [122]
Centroid: [40.005413, 116.321096], StdDev: [0.00699, 5.0E-5], ClassId: [160]
Centroid: [40.004989, 116.322602], StdDev: [0.0105, 3.0E-5], ClassId: [61]
Centroid: [39.933319, 116.388685], StdDev: [0.01327, 2.2E-4], ClassId: [133]
Centroid: [40.009704, 116.315168], StdDev: [1.0E-4, 1.0E-5], ClassId: [102]
Centroid: [40.00307, 116.322057], StdDev: [0.00591, 2.0E-5], ClassId: [3]
Centroid: [39.991193, 116.303944], StdDev: [0.02382, 3.0E-4], ClassId: [57]
Centroid: [40.008737, 116.296211], StdDev: [0.0015, 7.0E-5], ClassId: [169]
Centroid: [39.996455, 116.326235], StdDev: [0.00862, 4.0E-5], ClassId: [116]
Centroid: [39.932922, 116.379793], StdDev: [0.02151, 4.6E-4], ClassId: [112]
Centroid: [39.995009, 116.289537], StdDev: [0.0014, 0.00102], ClassId: [153]
Centroid: [39.9933, 116.326461], StdDev: [0.0117, 3.0E-5], ClassId: [50]
Centroid: [39.975454, 116.332305], StdDev: [0.02386, 9.8E-4], ClassId: [165]
Centroid: [40.009618, 116.315134], StdDev: [0.00157, 0.0], ClassId: [48]
Centroid: [40.006432, 116.322443], StdDev: [0.00497, 2.0E-5], ClassId: [73]
Centroid: [39.997547, 116.325837], StdDev: [0.0141, 6.0E-5], ClassId: [63]
